dateRep,cases_FRA,deaths_FRA,Cdeaths_FRA,popData2018_FRA,cases_IT,deaths_IT,Cdeaths_IT,popData2018_IT,cases_SPN,deaths_SPN,Cdeaths_SPN,popData2018_SPN,cases_UK,deaths_UK,Cdeaths_UK,popData2018_UK,,,
01/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,25/3/19
02/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
03/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
04/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
05/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
06/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
07/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
08/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
09/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
10/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
11/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
12/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
13/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
14/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
15/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
16/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
17/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
18/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
19/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
20/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
21/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
22/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
23/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
24/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
25/01/20,3,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
26/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
27/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
28/01/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
29/01/20,1,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
30/01/20,1,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
31/01/20,1,0,0,66987244,3,0,0,60431283,0,0,0,46723749,2,0,0,66488991,,,
01/02/20,0,0,0,66987244,0,0,0,60431283,1,0,0,46723749,0,0,0,66488991,,,
02/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
03/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
04/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
05/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
06/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
07/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,1,0,0,66488991,,,
08/02/20,5,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
09/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,1,0,0,66488991,,,
10/02/20,0,0,0,66987244,0,0,0,60431283,1,0,0,46723749,0,0,0,66488991,,,
11/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,4,0,0,66488991,,,
12/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
13/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,1,0,0,66488991,,,
14/02/20,0,0,0,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
15/02/20,0,1,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
16/02/20,0,0,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
17/02/20,1,0,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
18/02/20,0,0,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
19/02/20,0,0,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
20/02/20,0,0,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
21/02/20,0,0,1,66987244,0,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
22/02/20,0,0,1,66987244,14,0,0,60431283,0,0,0,46723749,0,0,0,66488991,,,
23/02/20,0,0,1,66987244,62,2,2,60431283,0,0,0,46723749,0,0,0,66488991,,,
24/02/20,0,0,1,66987244,53,0,2,60431283,0,0,0,46723749,4,0,0,66488991,,,
25/02/20,0,0,1,66987244,97,4,6,60431283,1,0,0,46723749,0,0,0,66488991,,,
26/02/20,2,0,1,66987244,93,5,11,60431283,6,0,0,46723749,0,0,0,66488991,,,
27/02/20,3,1,2,66987244,78,1,12,60431283,8,0,0,46723749,0,0,0,66488991,,,
